"locality","i","j","time","variable","long_name","units","value"
"Greenland",20,28,9.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.26477524638176
"Greenland",20,28,19.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.247873187065125
"Greenland",20,28,49.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.247257739305496
"Greenland",20,28,99.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.25148868560791
"Greenland",20,28,199.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.23287458717823
"Greenland",20,28,499.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.21012082695961
"Greenland",20,28,999.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.190090760588646
"Greenland",20,28,1999.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.162784546613693
"Greenland",20,28,4999.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.162436485290527
"Greenland",20,28,9999.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.162354603409767
"Greenland",20,28,0.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.40710574388504
"Greenland",20,28,1.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.396350651979446
"Greenland",20,28,4.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.378519594669342
"Greenland",20,28,9.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.369732141494751
"Greenland",20,28,19.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.349211573600769
"Greenland",20,28,49.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.347086906433105
"Greenland",20,28,99.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.349632769823074
"Greenland",20,28,199.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.314173817634583
"Greenland",20,28,499.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.27790167927742
"Greenland",20,28,999.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.26125904917717
"Greenland",20,28,1999.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.234910890460014
"Greenland",20,28,4999.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.234635576605797
"Greenland",20,28,9999.5,"eco2D_Plankton_C_013","C Biomass - Popn. #013 (60.00 micron zooplankton)","mmol C m^-3",0.234557896852493
