spp_id,gen,vul,can,net_id,net_type,community,stage,S4_consumer,S4_resource,S5_consumer,S5_resource
15,8,1,false,1,metaweb_empiricalbm,turkiye,creation,176,16,0,35
11,8,7,false,1,metaweb_empiricalbm,turkiye,creation,184,8,0,35
36,8,1,false,1,metaweb_empiricalbm,turkiye,creation,192,0,0,35
17,6,4,false,1,atn,turkiye,creation,89,0,10,0
20,6,0,false,1,atn,turkiye,creation,114,5,19,0
29,0,17,false,1,atn,turkiye,creation,87,10,36,0
34,0,3,false,1,atn,turkiye,creation,76,16,15,0
7,5,0,false,1,atn,turkiye,creation,66,10,6,0
2,7,0,false,1,atn,turkiye,creation,70,27,36,0
23,8,0,false,1,atn,turkiye,creation,62,27,10,0
40,6,3,false,1,atn,turkiye,creation,83,36,19,0
12,6,0,false,1,atn,turkiye,creation,76,43,19,0
18,5,0,false,1,atn,turkiye,creation,47,42,10,0
13,6,0,false,1,atn,turkiye,creation,48,28,6,0
9,7,0,false,1,atn,turkiye,creation,58,50,15,0
24,5,0,false,1,atn,turkiye,creation,56,36,15,0
10,5,0,false,1,atn,turkiye,creation,50,42,15,0
22,4,2,false,1,atn,turkiye,creation,80,59,38,45
26,0,3,false,1,atn,turkiye,creation,42,66,15,0
3,9,0,false,1,atn,turkiye,creation,31,31,21,22
5,4,0,false,1,atn,turkiye,creation,33,56,6,4
30,0,23,false,1,atn,turkiye,creation,30,59,6,4
31,0,17,false,1,atn,turkiye,creation,26,82,15,0
28,0,9,false,1,atn,turkiye,creation,24,68,15,0
38,4,23,false,1,atn,turkiye,creation,13,36,6,16
37,2,17,false,1,atn,turkiye,creation,24,72,15,13
8,7,0,false,1,atn,turkiye,creation,18,71,6,4
35,0,5,false,1,atn,turkiye,creation,19,100,15,4
25,7,0,false,1,atn,turkiye,creation,3,0,9,0
33,0,0,false,1,atn,turkiye,creation,4,6,11,12
41,6,0,false,1,atn,turkiye,creation,18,18,12,31
27,0,5,false,1,atn,turkiye,creation,102,30,7,72
21,6,0,false,1,atn,turkiye,creation,231,22,3,114
39,6,17,false,1,atn,turkiye,creation,136,0,0,91
14,6,0,false,1,atn,turkiye,creation,3,0,0,23
6,9,0,false,1,atn,turkiye,creation,0,0,0,0
1,5,0,false,1,atn,turkiye,creation,3,0,3,6
19,5,0,false,1,atn,turkiye,creation,4,6,3,20
32,0,3,false,1,atn,turkiye,creation,18,18,3,40
16,6,0,false,1,atn,turkiye,creation,102,34,1,79
4,6,0,false,1,atn,turkiye,creation,237,28,0,123
15,6,14,false,1,atn,turkiye,creation,158,6,0,106
11,4,0,false,1,atn,turkiye,creation,55,4,0,38
36,0,9,false,1,atn,turkiye,creation,92,0,0,15
17,8,0,false,1,metaweb,turkiye,burnin,192,0,28,0
20,0,25,false,1,metaweb,turkiye,burnin,184,8,28,0
29,8,0,false,1,metaweb,turkiye,burnin,176,16,28,0
7,8,0,false,1,metaweb,turkiye,burnin,168,24,28,0
2,8,0,false,1,metaweb,turkiye,burnin,160,32,28,0
23,0,25,false,1,metaweb,turkiye,burnin,152,40,28,0
12,8,0,false,1,metaweb,turkiye,burnin,144,48,28,0
18,0,25,false,1,metaweb,turkiye,burnin,136,56,28,0
13,8,0,false,1,metaweb,turkiye,burnin,128,64,28,0
9,8,0,false,1,metaweb,turkiye,burnin,120,72,28,0
24,0,25,false,1,metaweb,turkiye,burnin,112,80,28,0
10,8,0,false,1,metaweb,turkiye,burnin,104,88,28,0
22,0,25,false,1,metaweb,turkiye,burnin,96,96,28,0
26,8,0,false,1,metaweb,turkiye,burnin,88,104,28,0
3,8,0,false,1,metaweb,turkiye,burnin,80,112,28,0
5,8,0,false,1,metaweb,turkiye,burnin,72,120,28,0
30,8,0,false,1,metaweb,turkiye,burnin,64,128,28,0
31,8,0,false,1,metaweb,turkiye,burnin,164,136,56,119
28,8,0,false,1,metaweb,turkiye,burnin,164,136,48,127
8,8,0,false,1,metaweb,turkiye,burnin,164,136,40,135
25,0,25,false,1,metaweb,turkiye,burnin,164,136,32,143
33,8,0,false,1,metaweb,turkiye,burnin,164,136,24,151
27,8,0,false,1,metaweb,turkiye,burnin,164,136,16,159
21,0,25,false,1,metaweb,turkiye,burnin,164,136,8,167
14,8,0,false,1,metaweb,turkiye,burnin,164,136,0,175
6,8,0,false,1,metaweb,turkiye,burnin,136,56,0,28
1,8,0,false,1,metaweb,turkiye,burnin,144,48,0,28
19,0,25,false,1,metaweb,turkiye,burnin,152,40,0,28
32,8,0,false,1,metaweb,turkiye,burnin,160,32,0,28
16,8,0,false,1,metaweb,turkiye,burnin,168,24,0,28
4,8,0,false,1,metaweb,turkiye,burnin,176,16,0,28
