net_id,net_type,stage,S4_C1,S4_R1,S4_C2
1,atn_nestedbm,creation,5,12,29
1,atn_nestedbm,creation,5,12,30
1,atn_nestedbm,creation,5,12,37
1,atn_nestedbm,creation,5,12,38
1,atn_nestedbm,creation,5,13,29
1,atn_nestedbm,creation,5,13,30
1,atn_nestedbm,creation,5,13,37
1,atn_nestedbm,creation,5,13,38
1,atn_nestedbm,creation,5,14,29
1,atn_nestedbm,creation,5,14,30
1,atn_nestedbm,creation,5,14,37
1,atn_nestedbm,creation,5,14,38
1,atn_nestedbm,creation,5,15,29
1,atn_nestedbm,creation,5,15,37
1,atn_nestedbm,creation,5,16,29
1,atn_nestedbm,creation,5,16,30
1,atn_nestedbm,creation,5,16,37
1,atn_nestedbm,creation,5,16,38
1,atn_nestedbm,creation,5,17,29
1,atn_nestedbm,creation,5,17,37
1,atn_nestedbm,creation,5,18,30
1,atn_nestedbm,creation,5,18,38
1,atn_nestedbm,creation,5,19,30
1,atn_nestedbm,creation,5,19,38
1,atn_nestedbm,creation,5,20,29
1,atn_nestedbm,creation,5,20,30
1,atn_nestedbm,creation,5,20,37
1,atn_nestedbm,creation,5,20,38
1,atn_nestedbm,creation,5,21,29
1,atn_nestedbm,creation,5,21,30
1,atn_nestedbm,creation,5,21,37
1,atn_nestedbm,creation,5,21,38
1,atn_nestedbm,creation,5,22,29
1,atn_nestedbm,creation,5,22,37
1,atn_nestedbm,creation,5,23,30
1,atn_nestedbm,creation,5,23,38
1,atn_nestedbm,creation,5,24,30
1,atn_nestedbm,creation,5,24,38
1,atn_nestedbm,creation,5,25,29
1,atn_nestedbm,creation,5,25,30
1,atn_nestedbm,creation,5,25,37
1,atn_nestedbm,creation,5,25,38
1,atn_nestedbm,creation,5,29,40
1,atn_nestedbm,creation,5,29,41
1,atn_nestedbm,creation,5,30,41
1,atn_nestedbm,creation,5,37,40
1,atn_nestedbm,creation,5,37,41
1,atn_nestedbm,creation,5,38,41
1,atn_nestedbm,creation,6,7,15
1,atn_nestedbm,creation,6,7,30
1,atn_nestedbm,creation,6,7,31
1,atn_nestedbm,creation,6,7,38
1,atn_nestedbm,creation,6,7,39
1,atn_nestedbm,creation,6,8,15
1,atn_nestedbm,creation,6,8,30
1,atn_nestedbm,creation,6,8,31
1,atn_nestedbm,creation,6,8,38
1,atn_nestedbm,creation,6,8,39
1,atn_nestedbm,creation,6,9,15
1,atn_nestedbm,creation,6,9,30
1,atn_nestedbm,creation,6,9,31
1,atn_nestedbm,creation,6,9,38
1,atn_nestedbm,creation,6,9,39
1,atn_nestedbm,creation,6,10,15
1,atn_nestedbm,creation,6,10,30
1,atn_nestedbm,creation,6,10,31
1,atn_nestedbm,creation,6,10,38
1,atn_nestedbm,creation,6,10,39
1,atn_nestedbm,creation,6,11,30
1,atn_nestedbm,creation,6,11,38
1,atn_nestedbm,creation,6,12,30
1,atn_nestedbm,creation,6,12,31
1,atn_nestedbm,creation,6,12,38
1,atn_nestedbm,creation,6,12,39
1,atn_nestedbm,creation,6,13,30
1,atn_nestedbm,creation,6,13,38
1,atn_nestedbm,creation,6,14,30
1,atn_nestedbm,creation,6,14,38
1,atn_nestedbm,creation,6,15,18
1,atn_nestedbm,creation,6,15,19
1,atn_nestedbm,creation,6,15,23
1,atn_nestedbm,creation,6,15,24
1,atn_nestedbm,creation,6,15,25
1,atn_nestedbm,creation,6,16,30
1,atn_nestedbm,creation,6,16,31
1,atn_nestedbm,creation,6,16,38
1,atn_nestedbm,creation,6,16,39
1,atn_nestedbm,creation,6,17,23
1,atn_nestedbm,creation,6,18,30
1,atn_nestedbm,creation,6,18,31
1,atn_nestedbm,creation,6,18,38
1,atn_nestedbm,creation,6,18,39
1,atn_nestedbm,creation,6,19,30
1,atn_nestedbm,creation,6,19,31
1,atn_nestedbm,creation,6,19,38
1,atn_nestedbm,creation,6,19,39
1,atn_nestedbm,creation,6,20,30
1,atn_nestedbm,creation,6,20,31
1,atn_nestedbm,creation,6,20,38
1,atn_nestedbm,creation,6,20,39
1,atn_nestedbm,creation,6,21,30
1,atn_nestedbm,creation,6,21,38
1,atn_nestedbm,creation,6,23,30
1,atn_nestedbm,creation,6,23,31
1,atn_nestedbm,creation,6,23,32
1,atn_nestedbm,creation,6,23,38
1,atn_nestedbm,creation,6,23,39
1,atn_nestedbm,creation,6,23,40
1,atn_nestedbm,creation,6,24,30
1,atn_nestedbm,creation,6,24,31
1,atn_nestedbm,creation,6,24,38
1,atn_nestedbm,creation,6,24,39
1,atn_nestedbm,creation,6,25,30
1,atn_nestedbm,creation,6,25,31
1,atn_nestedbm,creation,6,25,38
1,atn_nestedbm,creation,6,25,39
1,atn_nestedbm,creation,6,30,41
1,atn_nestedbm,creation,6,38,41
1,atn_nestedbm,creation,7,8,15
1,atn_nestedbm,creation,7,8,30
1,atn_nestedbm,creation,7,8,31
1,atn_nestedbm,creation,7,8,38
1,atn_nestedbm,creation,7,8,39
1,atn_nestedbm,creation,7,9,15
1,atn_nestedbm,creation,7,9,30
1,atn_nestedbm,creation,7,9,31
1,atn_nestedbm,creation,7,9,38
1,atn_nestedbm,creation,7,9,39
1,atn_nestedbm,creation,7,10,15
1,atn_nestedbm,creation,7,10,30
1,atn_nestedbm,creation,7,10,31
1,atn_nestedbm,creation,7,10,38
1,atn_nestedbm,creation,7,10,39
1,atn_nestedbm,creation,7,11,30
1,atn_nestedbm,creation,7,11,38
1,atn_nestedbm,creation,7,12,30
1,atn_nestedbm,creation,7,12,31
